seven_note_chords, ;
33, diminished 2_in_harmonic_minor;
44, augmented 3_in_harmonic_minor;
34, minor 4_in_harmonic_minor;
43, major 5_in_harmonic_minor;
43, major 6_in_harmonic_minor;
33, diminished 7_in_harmonic_minor;


34, minor 1_in_melodic_minor;
34, minor 2_in_melodic_minor;
44, augmented 3_in_melodic_minor;
43, major 4_in_melodic_minor;
43, major 5_in_melodic_minor;
33, diminished 6_in_melodic_minor;
33, diminished 7_in_melodic_minor;


43, major 1_in_harmonic_major;
33, diminished 2_in_harmonic_major;
34, minor 3_in_harmonic_major;
34, minor 4_in_harmonic_major;
43, major 5_in_harmonic_major;
44, augmented 6_in_harmonic_major;
33, diminished 7_in_harmonic_major;
